Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-174353.28	27291.875	-130993.77	-228304.23	-219937.45	18670.963	-185592.22	-246387.08	180.0	180.0	4999	-1687.8003	683.5984	413.13406	-5889.336	-1689.778	681.6601	33.094135	-5829.149	816.2989	108603.86	27.203624963760376
2	-173128.0	25357.027	-132981.69	-213290.66	-193516.55	26219.668	-159859.66	-247231.2	180.0	180.0	9999	-1304.7137	790.33105	609.92957	-6266.4917	-1304.711	790.33704	640.2112	-6258.6724	277.4486	29552.145	59.96888303756714
3	-183071.33	25428.684	-130203.71	-221639.77	-208414.88	24533.797	-174188.72	-244535.17	180.0	180.0	14999	-986.02985	711.1685	2235.5862	-6121.4126	-985.9883	711.1736	2228.9062	-6129.1216	-33.80875	25221.812	93.13558888435364
4	-165342.9	24881.559	-128915.58	-213294.97	-193051.78	25125.77	-159358.39	-246428.2	180.0	180.0	19999	-762.80695	791.1447	3285.1702	-5683.6187	-762.8213	791.1141	3255.154	-5779.37	-251.5309	22440.22	126.409836769104
5	-174084.17	25144.049	-134443.2	-223412.73	-209946.9	30201.52	-162085.53	-245946.2	180.0	180.0	24999	-656.1602	881.61304	3862.718	-4787.632	-656.1778	881.6362	3826.86	-4786.584	-350.4559	21673.113	159.64604496955872
6	-173217.77	24504.854	-132182.83	-221674.14	-205572.67	21759.13	-169168.4	-231075.73	180.0	180.0	29999	-625.7854	971.5373	4441.354	-4663.2104	-625.81726	971.5011	4382.957	-4662.116	-382.61896	22320.617	192.62468886375427
7	-187411.34	25212.57	-138164.55	-225022.31	-211865.2	25843.594	-162840.08	-246409.45	180.0	180.0	34999	-624.44727	1039.431	4702.1577	-4946.679	-624.4574	1039.4034	4577.6553	-4949.083	-388.35312	23008.01	226.7697081565857
8	-173549.23	27275.137	-133665.52	-221991.4	-202752.8	17794.098	-170790.67	-233722.66	180.0	180.0	39999	-626.619	1071.5189	4746.9404	-5167.0938	-626.6167	1071.5061	4721.4175	-5156.03	-388.28528	24271.229	260.63144993782043
9	-175537.66	29355.049	-129986.33	-220772.03	-189214.97	19034.969	-160896.42	-219666.73	180.0	180.0	44999	-633.47046	1104.592	4817.3506	-5320.813	-633.47266	1104.5814	4780.9595	-5282.701	-381.5859	24732.496	293.753968000412
10	-178052.02	24612.227	-136020.78	-216552.56	-192501.45	24942.727	-161203.75	-242137.86	180.0	180.0	49999	-638.74677	1117.5487	4794.79	-5411.72	-638.75507	1117.5328	4754.3022	-5415.183	-376.72574	24189.223	326.9521749019623
11	-177559.6	25269.002	-137383.73	-217976.06	-206973.2	31573.414	-162472.39	-249015.88	180.0	180.0	54999	-633.8722	1121.6992	4782.168	-5376.7305	-633.874	1121.679	4716.6978	-5401.2	-385.23962	24975.021	360.25879192352295
