Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-20021.553	3298.982	-11448.927	-27520.322	-8301.869	2719.4658	-3401.9973	-11403.735	20.0	20.0	4999	-1216.479	431.67004	191.93852	-2964.335	-1218.238	430.36813	181.00844	-2975.3308	259.85516	98940.54	27.44877600669861
2	-4486.23	2188.001	-1731.3597	-9231.857	-6293.371	3510.5684	-2028.7384	-11936.207	20.0	20.0	9999	-1688.0311	814.2232	492.62726	-5249.068	-1687.7437	814.4905	530.0776	-5244.089	1108.7325	25615.354	63.094428062438965
3	-4478.105	2188.5625	-1732.5957	-9441.291	-6729.3623	2346.047	-3233.7766	-11108.556	20.0	20.0	14999	-3977.102	1662.4532	-496.3563	-9645.562	-3977.0366	1662.587	-537.3541	-9649.456	3662.7273	39937.914	94.57672810554504
4	-4557.229	2224.449	-1661.6335	-9710.621	-9609.718	2146.7395	-4644.5337	-11935.174	20.0	20.0	19999	-6261.263	2563.4814	-1663.7578	-13777.456	-6261.312	2563.3604	-1709.8876	-13782.872	6036.5166	37980.473	126.64897894859314
5	-4529.63	2221.3064	-1819.3479	-9865.35	-6878.8374	3244.5684	-2178.037	-11080.276	20.0	20.0	24999	-8427.69	3367.9983	-2987.248	-17405.197	-8427.736	3367.917	-3026.3035	-17399.615	8252.449	41422.523	158.40033316612244
6	-4639.97	2143.2283	-1612.0586	-9456.103	-9286.563	2504.7412	-3052.7412	-11865.785	20.0	20.0	29999	-10376.5	4045.0198	-4284.5186	-20667.244	-10376.523	4044.9792	-4342.3936	-20638.955	10229.083	44112.242	190.74855995178223
7	-4591.952	2139.8613	-1732.9692	-9475.566	-5604.0503	2295.519	-2171.499	-9183.175	20.0	20.0	34999	-12130.731	4653.8457	-5484.77	-23523.129	-12130.778	4653.754	-5493.7876	-23482.227	12008.595	50706.97	222.28729701042175
8	-4461.908	2284.4019	-1808.74	-9584.435	-7284.275	2692.8784	-3656.0798	-11023.087	20.0	20.0	39999	-13642.721	5189.291	-6505.881	-26010.39	-13642.724	5189.2705	-6515.235	-26001.037	13539.047	63744.863	254.4597351551056
9	-4328.752	2061.0894	-1735.2899	-9557.841	-8086.5146	2758.887	-2554.9517	-11863.257	20.0	20.0	44999	-14932.774	5645.5356	-7497.8027	-28135.223	-14932.756	5645.5737	-7468.132	-28155.541	14841.449	66664.31	286.59895515441895
10	-4348.1733	2031.8749	-1789.7493	-9027.01	-6857.725	2294.9312	-3171.1492	-11213.38	20.0	20.0	49999	-16080.934	6004.039	-8401.1455	-30141.396	-16080.937	6004.0547	-8395.466	-30098.115	15999.564	71180.78	317.9641890525818
