Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-20221.889	3137.9358	-13858.333	-27450.65	-8301.869	2719.4658	-3401.9973	-11403.735	20.0	20.0	4999	-1236.5332	418.02637	192.85208	-2981.9065	-1237.3911	416.7677	191.48721	-2957.6885	252.24068	97775.195	22.054965019226074
2	-20004.145	3197.6567	-12430.643	-28087.756	-4439.0444	985.55347	-2678.8926	-6295.748	20.0	20.0	9999	-702.80194	543.1626	1186.9891	-2787.4941	-702.7697	543.17456	1133.4598	-2773.921	-376.25497	26221.18	48.328530073165894
3	-19932.53	3410.9512	-12049.203	-27823.648	-6372.9756	3120.495	-2037.4446	-11611.462	20.0	20.0	14999	-365.7767	670.1536	1574.7949	-2732.1719	-365.77554	670.1407	1568.2065	-2700.247	-693.999	21786.22	75.52947306632996
4	-19994.771	3143.1125	-12663.47	-26651.08	-7732.297	3006.5647	-2392.6238	-11810.928	20.0	20.0	19999	-250.27023	712.37805	1812.0033	-2733.243	-250.26593	712.3679	1771.1676	-2708.021	-799.879	20501.041	101.8969841003418
5	-19961.543	3334.2593	-12557.509	-27625.49	-6457.8604	3352.0913	-2025.1033	-10183.2705	20.0	20.0	24999	-230.56158	727.3709	1887.8228	-2701.9382	-230.55743	727.36334	1856.3884	-2677.2363	-821.36444	21098.326	128.88758301734924
6	-20023.129	3210.4429	-11678.702	-27364.982	-7443.896	2790.3594	-3150.7615	-11802.741	20.0	20.0	29999	-232.24474	726.382	1939.5428	-2676.8877	-232.24277	726.38293	1902.8893	-2654.1326	-815.576	21282.078	155.91567301750183
7	-19835.896	3151.9753	-11091.038	-27264.482	-5923.8135	2064.101	-2133.562	-9711.655	20.0	20.0	34999	-272.95917	703.7269	1927.5673	-2640.607	-272.95584	703.7253	1886.7144	-2644.2153	-774.33936	20930.89	182.3041889667511
8	-19938.068	3359.0198	-12118.435	-28723.533	-7498.6772	2836.8398	-2966.079	-11559.773	20.0	20.0	39999	-352.26633	665.3608	1916.3455	-2638.446	-352.26556	665.3526	1875.9305	-2636.8289	-693.4333	20600.365	209.4381880760193
9	-19692.664	3135.2192	-12154.608	-26469.719	-7298.8516	2231.2705	-4066.9033	-11811.841	20.0	20.0	44999	-470.23236	609.59436	1764.7245	-2660.7778	-470.24527	609.59503	1736.2761	-2656.4407	-576.09143	20351.28	236.56516098976135
10	-19463.668	3113.253	-12099.731	-28369.219	-7889.3115	2533.3577	-3670.3481	-11614.255	20.0	20.0	49999	-568.22003	565.96436	1671.95	-2678.018	-568.2319	565.9673	1656.4514	-2689.1729	-476.88925	20744.48	303.7641589641571
11	-19829.482	3221.533	-12141.717	-28556.086	-6505.6904	2131.275	-4434.8364	-11534.788	20.0	20.0	54999	-668.1159	523.51483	1505.5571	-2685.6426	-668.131	523.51904	1477.9437	-2690.7556	-378.3658	20272.244	333.23498797416687
12	-20094.219	3138.5933	-11631.557	-26734.627	-7262.751	2934.9995	-3863.7458	-11918.419	20.0	20.0	59999	-874.56396	462.30276	1346.2578	-2803.8162	-874.5768	462.3149	1333.9268	-2856.0288	-192.04657	20165.885	361.16104197502136
13	-20405.773	3175.9985	-12110.929	-27127.92	-6660.426	3044.0706	-2584.4016	-11347.823	20.0	20.0	64999	-1254.2504	429.06686	998.0143	-2935.8752	-1254.2596	429.0903	980.56635	-2940.381	169.27052	20557.35	388.8961338996887
14	-20154.564	3297.0498	-13066.596	-27392.994	-7653.199	2535.1838	-4129.1587	-11830.285	20.0	20.0	69999	-1860.6375	623.44507	454.84402	-4574.41	-1860.6162	623.61383	478.18167	-4572.769	752.308	22802.088	416.2968420982361
15	-19965.895	3416.474	-12596.234	-27324.094	-5893.8955	2152.2827	-2307.123	-9043.511	20.0	20.0	74999	-2800.153	1155.8671	40.401012	-6971.024	-2800.0935	1156.1008	114.3694	-6949.056	1648.8337	32835.832	443.5894432067871
16	-19978.271	3296.0703	-12334.567	-27660.156	-8110.6494	2821.2432	-3202.0437	-11432.529	20.0	20.0	79999	-4033.2378	1885.9469	-430.44992	-9738.873	-4033.1345	1886.2352	-401.77432	-9738.358	2821.233	49295.957	540.9558348655701
17	-19800.691	3310.853	-11934.167	-28116.283	-5926.071	2879.0967	-2029.9148	-10979.912	20.0	20.0	84999	-5442.967	2694.3857	-615.8373	-12623.075	-5442.8833	2694.6182	-574.37836	-12604.506	4193.7554	62739.246	2196.6386601924896
18	-19874.26	3357.744	-11801.564	-28466.143	-7099.999	3375.0764	-3153.0781	-11813.977	20.0	20.0	89999	-6786.6743	3469.951	-766.16986	-15249.338	-6786.6094	3470.1394	-699.7647	-15304.786	5514.3374	72205.03	2227.8582978248596
19	-19699.303	3207.5056	-12215.78	-29112.25	-6739.846	3167.441	-2491.279	-11578.243	20.0	20.0	94999	-7957.1904	4162.7046	-925.97894	-17527.17	-7957.105	4162.883	-805.9474	-17545.422	6673.5186	82143.16	2258.8918669223785
20	-19937.7	3344.7463	-12706.632	-27341.324	-7553.0947	3296.1316	-2965.5586	-11058.015	20.0	20.0	99999	-8949.371	4748.0215	-1091.7018	-19433.555	-8949.329	4748.16	-1000.38684	-19388.78	7654.699	96322.75	2286.1946618556976
21	-4606.428	2266.2695	-1654.0845	-9919.714	-7056.643	2456.0781	-3082.0244	-10711.887	20.0	20.0	104999	-10204.411	5336.535	-844.36414	-22079.47	-10204.544	5336.5166	-922.5621	-22097.496	9090.633	84108.2	2314.74613404274
22	-4537.218	2164.9558	-1706.2968	-9362.868	-6316.452	1987.3921	-3459.4656	-9848.089	20.0	20.0	109999	-12036.134	5794.4673	-1743.3672	-24570.871	-12036.066	5794.773	-1910.6781	-24695.486	11230.568	69152.195	2343.116343021393
23	-4616.478	2222.7007	-1710.8982	-9262.093	-5185.404	1353.9789	-2336.5698	-6758.6455	20.0	20.0	114999	-13736.514	6170.401	-3212.792	-27147.803	-13736.559	6170.363	-3189.648	-27128.11	13014.062	73514.88	2371.421075105667
24	-4545.086	2293.9392	-1563.1844	-9307.274	-6799.029	2841.2654	-1982.2091	-11951.871	20.0	20.0	119999	-15240.865	6485.3843	-4496.1133	-29417.135	-15240.882	6485.363	-4504.3374	-29427.82	14565.501	76768.375	2399.734435081482
25	-4496.71	2215.47	-1782.5687	-9341.044	-7946.659	2781.962	-2393.14	-11671.251	20.0	20.0	124999	-16567.625	6763.453	-5734.2515	-31338.102	-16567.674	6763.34	-5732.637	-31330.947	15925.533	78942.08	2428.1471049785614
26	-4708.415	2217.07	-1817.6854	-9431.327	-7463.1963	2030.8873	-3879.0088	-9742.952	20.0	20.0	129999	-17769.996	7007.52	-6953.481	-33120.133	-17770.053	7007.3745	-6993.057	-33103.863	17160.158	82081.46	2456.5649030208588
27	-4506.089	2071.828	-1654.2563	-9129.267	-7658.9673	2359.4631	-4005.9795	-11498.252	20.0	20.0	134999	-18845.377	7212.1787	-8025.3716	-34493.184	-18845.434	7212.0503	-8016.8345	-34468.863	18259.094	83837.82	2485.056168079376
28	-4334.1177	2182.2627	-1843.0221	-9955.675	-6240.874	2940.6396	-1966.4745	-11360.25	20.0	20.0	139999	-19755.732	7374.1255	-8951.472	-35898.66	-19755.746	7374.0825	-8939.218	-35885.402	19186.541	85716.94	2513.6173310279846
29	-4589.382	2264.6218	-1627.3851	-9677.701	-5393.8896	2937.807	-1967.0367	-11912.656	20.0	20.0	144999	-20548.598	7534.188	-9752.607	-36903.785	-20548.64	7534.0757	-9727.056	-36849.42	20008.803	86305.38	2542.2781751155853
30	-4845.523	2289.461	-1646.0026	-9330.481	-6695.146	3036.4646	-2555.376	-10899.868	20.0	20.0	149999	-21257.559	7682.55	-10471.844	-37950.96	-21257.605	7682.4014	-10476.118	-37957.03	20733.473	90113.445	2570.7876291275024
31	-4856.538	2330.523	-1663.7292	-9466.151	-7632.5117	2881.9526	-3161.6917	-11729.393	20.0	20.0	154999	-21912.182	7826.6387	-11121.285	-38963.047	-21912.217	7826.4736	-11102.25	-38965.758	21410.795	92689.84	2599.2909140586853
32	-4654.071	2294.0286	-1789.4893	-9467.669	-6669.3735	2502.863	-2721.638	-11236.771	20.0	20.0	159999	-22465.305	7955.068	-11658.293	-39657.785	-22465.363	7954.889	-11624.551	-39655.418	21969.447	95285.234	2627.9378011226654
33	-4301.164	2052.7737	-1747.3318	-9182.8955	-5526.573	2893.8657	-1966.002	-10934.029	20.0	20.0	164999	-22889.023	8056.081	-12138.49	-40384.36	-22889.139	8055.6934	-12119.38	-40391.004	22417.775	89800.43	2656.3377118110657
34	-4382.6504	2206.2668	-1587.2303	-9435.999	-6302.2764	2716.8418	-2494.7092	-10855.328	20.0	20.0	169999	-23234.693	8137.6924	-12512.659	-40975.125	-23234.852	8137.247	-12496.558	-40945.117	22780.047	87307.55	2684.8469140529633
35	-4512.88	2267.5483	-1660.319	-9346.51	-6707.8164	2798.0654	-2479.43	-9571.418	20.0	20.0	174999	-23541.242	8207.167	-12838.616	-41499.816	-23541.352	8206.797	-12855.216	-41488.465	23095.082	91507.21	2713.3367199897766
36	-4539.0083	2302.1035	-1585.5143	-9316.865	-6533.28	3229.263	-2211.5002	-11267.937	20.0	20.0	179999	-23797.844	8274.618	-13125.437	-41785.0	-23797.975	8274.286	-13149.167	-41755.47	23362.773	88852.49	2741.820667028427
37	-4716.029	2262.651	-1818.1978	-9328.429	-6486.6533	2131.0925	-3797.7178	-9757.418	20.0	20.0	184999	-24017.047	8331.87	-13369.141	-42129.527	-24017.12	8331.638	-13382.909	-42116.508	23599.81	90661.836	2770.4186141490936
38	-4589.824	2227.804	-1878.7336	-9480.329	-5999.2715	1865.4872	-2703.4438	-8938.631	20.0	20.0	189999	-24179.914	8370.4795	-13568.806	-42442.84	-24179.977	8370.3125	-13568.997	-42421.055	23775.494	99714.35	2799.2400579452515
39	-4584.0713	2197.3047	-1587.3253	-9432.14	-7732.16	3612.0452	-2489.3586	-11810.975	20.0	20.0	194999	-24314.312	8399.75	-13760.555	-42593.156	-24314.35	8399.622	-13749.181	-42587.93	23913.496	103712.5	2827.5838479995728
40	-4396.48	2258.4658	-1744.9276	-9375.615	-8132.706	3244.5737	-2331.7556	-11475.332	20.0	20.0	199999	-24400.746	8422.998	-13917.517	-42771.87	-24400.746	8422.982	-13889.318	-42744.56	24013.363	98192.71	2856.030404806137
41	-4474.4287	2179.9983	-1733.3011	-9203.094	-7862.323	2134.4285	-4345.2095	-11612.896	20.0	20.0	204999	-24468.664	8449.292	-14005.269	-43009.062	-24468.67	8449.283	-13994.302	-43003.76	24094.688	102653.11	2884.249436855316
42	-4484.771	2248.5193	-1544.5857	-9330.522	-6071.665	3275.2346	-2140.881	-11543.261	20.0	20.0	209999	-24504.957	8463.155	-14083.715	-43055.16	-24504.934	8463.205	-14091.327	-43058.594	24141.34	96553.164	2912.5686211586
43	-4585.555	2207.7112	-1678.2618	-9832.995	-7620.7876	2472.7974	-3824.2969	-11925.746	20.0	20.0	214999	-24555.52	8485.958	-14167.241	-43087.598	-24555.484	8486.006	-14167.671	-43072.723	24195.475	92042.06	2941.6273090839386
44	-4346.8657	2073.232	-1786.0018	-9191.187	-7251.7993	2552.2324	-2782.5757	-10454.151	20.0	20.0	219999	-24554.674	8478.296	-14228.1455	-43218.07	-24554.654	8478.353	-14241.37	-43218.18	24212.217	93116.3	2969.736474275589
45	-4689.741	2278.226	-1612.8494	-9496.497	-6703.6514	3109.8691	-2888.2947	-11364.493	20.0	20.0	224999	-24553.576	8476.562	-14284.509	-43243.094	-24553.541	8476.601	-14295.675	-43262.375	24211.959	103681.49	2999.1358499526978
46	-4528.7905	2173.865	-1717.796	-9525.405	-7636.858	2198.9194	-4048.7537	-11398.213	20.0	20.0	229999	-24559.654	8473.326	-14456.793	-43210.21	-24559.629	8473.37	-14421.209	-43214.625	24237.445	93675.875	3028.28324508667
47	-4485.1924	2083.7012	-1601.3387	-9644.78	-6173.586	2434.7554	-2026.6906	-10944.189	20.0	20.0	234999	-24536.82	8469.237	-14551.755	-43318.883	-24536.828	8469.29	-14526.625	-43317.91	24213.855	90470.555	3062.41428399086
48	-4780.833	2290.954	-1743.8478	-9479.733	-6957.8657	2107.4722	-1979.0988	-9167.974	20.0	20.0	239999	-24522.367	8468.8	-14581.599	-43248.16	-24522.346	8468.847	-14557.57	-43254.8	24208.27	90790.51	3092.030704021454
49	-4438.588	2234.8464	-1640.883	-9375.309	-5845.292	2409.1685	-1974.339	-10162.67	20.0	20.0	244999	-24490.611	8469.589	-14591.591	-43239.34	-24490.562	8469.716	-14599.499	-43226.418	24181.244	87108.62	3121.545081138611
50	-4670.445	2214.2368	-1757.805	-9250.458	-7890.663	2796.7278	-3540.0286	-11643.091	20.0	20.0	249999	-24448.678	8471.733	-14629.391	-43203.477	-24448.643	8471.823	-14603.642	-43198.418	24148.16	86376.766	3151.2035121917725
51	-4460.657	2150.3008	-1686.5465	-9147.747	-5411.8677	2090.8762	-2280.8425	-8426.957	20.0	20.0	254999	-24402.719	8464.694	-14639.278	-43208.688	-24402.688	8464.82	-14586.464	-43216.03	24103.25	90566.58	3180.5367159843445
52	-4626.997	2257.567	-1599.8822	-9486.642	-7369.831	2511.6606	-3368.2104	-11755.975	20.0	20.0	259999	-24361.955	8467.716	-14622.251	-43145.82	-24361.926	8467.833	-14598.001	-43155.688	24070.166	84870.98	3210.058249950409
53	-4498.021	2311.3972	-1741.1185	-9443.49	-6955.1406	3054.5688	-2215.639	-11001.161	20.0	20.0	264999	-24315.217	8466.587	-14627.152	-43149.574	-24315.154	8466.739	-14589.028	-43159.156	24030.066	88030.27	3239.45370388031
54	-4669.5635	2275.489	-1761.4373	-9469.458	-4424.832	2410.983	-2688.622	-10110.206	20.0	20.0	269999	-24279.416	8470.675	-14598.427	-43101.535	-24279.365	8470.774	-14574.834	-43110.156	23994.783	85578.664	3268.828716993332
55	-4324.034	2127.0122	-1693.4988	-9246.524	-6208.0454	2956.453	-2431.3618	-11267.485	20.0	20.0	274999	-24244.602	8464.591	-14590.664	-43086.266	-24244.598	8464.638	-14568.683	-43110.76	23969.123	89932.586	3298.273152112961
56	-4448.9565	2172.6123	-1611.4487	-9768.355	-7333.311	2817.538	-2215.3948	-11524.02	20.0	20.0	279999	-24191.664	8447.827	-14598.076	-43037.45	-24191.67	8447.859	-14579.313	-43044.445	23919.807	86471.95	3326.9076499938965
57	-4468.342	2256.7402	-1609.4143	-9503.986	-6180.987	3549.1248	-2007.2528	-11815.731	20.0	20.0	284999	-24154.164	8433.519	-14604.939	-43029.715	-24154.143	8433.585	-14594.175	-43028.938	23889.465	88154.19	3355.7041878700256
58	-4669.3433	2300.0894	-1554.8546	-9330.948	-6031.141	1722.5219	-3678.686	-8521.3125	20.0	20.0	289999	-24115.348	8418.03	-14573.556	-43031.55	-24115.303	8418.101	-14567.209	-43010.68	23861.14	87204.51	3384.586256980896
59	-4663.211	2250.5447	-1701.0267	-9281.442	-6537.213	2862.5603	-2401.4563	-10013.211	20.0	20.0	294999	-24096.666	8404.837	-14622.278	-42949.32	-24096.639	8404.93	-14623.02	-42947.17	23848.64	90362.57	3413.1412658691406
60	-4783.0957	2268.19	-1764.085	-9387.774	-5802.9297	2828.258	-2584.6194	-11811.662	20.0	20.0	299999	-24073.527	8393.188	-14634.914	-42922.125	-24073.506	8393.282	-14641.429	-42894.562	23822.129	79795.945	3441.858102083206
61	-4699.3794	2324.6519	-1746.0078	-9286.992	-5829.103	2387.396	-2119.0085	-9925.496	20.0	20.0	304999	-24061.959	8380.644	-14630.061	-42958.895	-24061.953	8380.718	-14629.231	-42946.75	23815.113	88845.24	3470.4552431106567
62	-4444.3335	2247.6272	-1817.7684	-9610.529	-6728.19	2566.5767	-2612.7537	-9503.647	20.0	20.0	309999	-24043.025	8377.574	-14683.226	-42866.74	-24042.969	8377.691	-14670.455	-42856.6	23800.246	80584.125	3499.019126176834
63	-4575.9116	2244.4583	-1708.9594	-9514.896	-5888.825	2368.1514	-2481.5154	-10296.133	20.0	20.0	314999	-24002.188	8360.019	-14694.503	-42789.09	-24002.145	8360.11	-14692.041	-42775.98	23770.611	82695.02	3527.6332540512085
64	-4364.429	2164.0784	-1676.7776	-9737.095	-7079.296	2296.298	-2967.7021	-10693.738	20.0	20.0	319999	-23971.752	8344.955	-14704.374	-42791.74	-23971.725	8345.067	-14695.654	-42770.383	23741.695	83701.33	3556.221925020218
65	-4499.9	2286.9985	-1769.5283	-9726.136	-7550.857	2951.1282	-2168.5896	-11776.172	20.0	20.0	324999	-23936.893	8330.333	-14750.406	-42776.22	-23936.873	8330.418	-14738.166	-42750.848	23707.615	81523.02	3584.9696180820465
66	-4412.699	2218.6404	-1684.9799	-9263.699	-6575.5303	3394.137	-2384.819	-11745.812	20.0	20.0	329999	-23904.736	8315.228	-14787.669	-42732.094	-23904.682	8315.326	-14793.915	-42713.402	23681.975	80634.64	3613.61035490036
67	-4605.181	2177.627	-1679.8556	-9453.264	-6970.532	2972.202	-2130.8354	-11389.411	20.0	20.0	334999	-23880.365	8296.947	-14800.523	-42699.043	-23880.332	8297.025	-14793.99	-42704.316	23660.123	83033.71	3642.3248682022095
68	-4636.379	2276.0752	-1679.0796	-9361.8125	-6622.393	3738.8057	-2163.644	-11841.157	20.0	20.0	339999	-23876.715	8286.538	-14843.528	-42675.83	-23876.715	8286.634	-14831.778	-42657.098	23658.36	86194.88	3671.3757739067078
69	-4485.709	2260.0842	-1722.6963	-9667.365	-7101.6914	3065.9546	-2958.617	-11851.556	20.0	20.0	344999	-23847.576	8269.563	-14875.979	-42664.7	-23847.545	8269.665	-14850.633	-42653.0	23634.967	73277.94	3719.8499829769135
70	-4314.676	2120.184	-1589.8324	-8933.97	-5554.0264	3052.3718	-2345.0093	-11019.877	20.0	20.0	349999	-23835.203	8255.636	-14903.227	-42636.047	-23835.162	8255.714	-14879.932	-42617.97	23628.83	81301.36	3749.6362869739532
71	-4543.5596	2239.6677	-1627.2169	-9412.561	-7184.177	3433.569	-2056.2368	-11845.349	20.0	20.0	354999	-23818.59	8234.563	-14930.635	-42663.613	-23818.572	8234.66	-14869.105	-42662.273	23615.346	84049.06	3780.9317400455475
72	-4529.188	2353.2544	-1409.5654	-9833.47	-8662.393	2302.1167	-4412.8496	-11951.135	20.0	20.0	359999	-23812.525	8221.938	-14928.209	-42578.652	-23812.514	8221.99	-14904.487	-42575.605	23605.8	82563.09	3810.8163039684296
73	-4466.479	2165.1592	-1676.9946	-9092.91	-6898.0244	2775.5283	-2442.5347	-11194.715	20.0	20.0	364999	-23795.404	8200.294	-14956.637	-42609.117	-23795.416	8200.346	-14912.114	-42600.305	23597.258	87937.484	3840.136400938034
74	-4500.291	2238.5237	-1663.2015	-9359.187	-5865.0703	2782.0554	-2621.9336	-10481.64	20.0	20.0	369999	-23799.63	8180.2705	-14985.917	-42557.906	-23799.635	8180.333	-14931.105	-42566.52	23603.213	87528.5	3869.2701239585876
75	-4397.415	2176.1262	-1560.9622	-9139.32	-6467.8057	2448.7917	-2651.485	-10391.589	20.0	20.0	374999	-23791.09	8159.129	-14964.302	-42568.062	-23791.078	8159.1777	-14922.043	-42563.875	23594.172	82293.39	3898.3685319423676
76	-4290.9956	2159.3147	-1688.9874	-9187.863	-7370.6797	2966.9915	-3221.1865	-11647.724	20.0	20.0	379999	-23774.084	8133.2314	-14971.869	-42563.797	-23774.082	8133.266	-14916.497	-42566.105	23584.66	80445.01	3927.4470081329346
77	-4655.7017	2235.754	-1628.5018	-9279.246	-6706.6562	2816.31	-2764.4578	-10935.801	20.0	20.0	384999	-23769.87	8117.3027	-15033.498	-42544.363	-23769.879	8117.333	-15051.005	-42558.53	23576.742	80863.83	3956.904685020447
78	-4581.668	2321.9243	-1645.5277	-9341.915	-6730.082	3085.6697	-3113.332	-11720.813	20.0	20.0	389999	-23778.951	8097.211	-15065.338	-42483.145	-23778.945	8097.299	-15085.887	-42492.875	23586.479	78274.88	3986.058231115341
79	-4638.911	2335.521	-1700.5924	-9418.424	-8427.623	2366.4717	-2419.9583	-10819.28	20.0	20.0	394999	-23776.252	8073.931	-15077.458	-42462.074	-23776.227	8073.9917	-15052.813	-42444.95	23587.975	79821.086	4015.3217878341675
80	-4758.112	2313.8364	-1611.8221	-9290.69	-7223.5557	1994.2834	-4898.3857	-10126.855	20.0	20.0	399999	-23785.918	8055.161	-15091.3	-42480.723	-23785.906	8055.2144	-15007.65	-42492.37	23603.057	81836.53	4044.5169689655304
81	-4451.222	2142.0684	-1657.3878	-9200.598	-6113.761	3190.082	-2173.0137	-11661.964	20.0	20.0	404999	-23776.258	8030.728	-15125.524	-42416.637	-23776.223	8030.801	-15110.271	-42423.72	23596.809	79228.91	4073.942884206772
82	-4623.824	2226.412	-1789.4788	-9486.078	-7593.6787	2365.4949	-3621.8494	-10462.252	20.0	20.0	409999	-23763.492	8002.342	-15105.897	-42350.062	-23763.479	8002.3936	-15075.406	-42358.01	23581.873	83065.51	4103.379774093628
83	-4915.9297	2350.409	-1765.1482	-9309.94	-6189.5957	2033.6808	-3043.4983	-9537.936	20.0	20.0	414999	-23767.477	7987.9907	-15044.359	-42388.277	-23767.455	7988.0547	-15049.283	-42370.797	23593.889	76860.7	4132.5971031188965
84	-4755.645	2310.4453	-1787.3992	-9500.893	-7568.5845	2709.6143	-3307.256	-11383.706	20.0	20.0	419999	-23750.232	7968.892	-15079.263	-42283.27	-23750.215	7968.9478	-15066.441	-42302.55	23581.996	73544.945	4161.715996026993
85	-4532.076	2287.8086	-1538.05	-9578.297	-4924.204	2132.0034	-2568.0693	-9042.914	20.0	20.0	424999	-23731.697	7948.713	-15122.953	-42305.105	-23731.695	7948.7705	-15084.72	-42280.844	23565.393	72914.35	4191.055770158768
86	-4437.512	2272.7622	-1670.0459	-9660.532	-8215.781	3137.4146	-2471.7214	-11789.439	20.0	20.0	429999	-23687.54	7920.159	-15035.413	-42197.492	-23687.504	7920.226	-15036.244	-42198.42	23514.623	73653.82	4220.257579088211
87	-4506.7627	2092.583	-1699.9431	-9464.23	-5331.554	2321.4465	-2375.2463	-9397.135	20.0	20.0	434999	-23637.264	7889.7114	-15014.43	-42088.18	-23637.252	7889.7705	-15014.36	-42088.25	23476.195	74087.78	4249.314615011215
88	-4558.191	2313.555	-1783.5638	-9563.228	-7163.8306	1919.9762	-4255.404	-11584.631	20.0	20.0	439999	-23591.027	7855.3086	-14967.624	-42002.656	-23591.01	7855.395	-14958.014	-42015.36	23434.572	71134.88	4278.463515996933
89	-4673.2905	2273.319	-1664.4425	-9518.035	-8343.438	2423.8381	-3923.9941	-11696.224	20.0	20.0	444999	-23540.324	7827.2515	-14988.365	-41920.766	-23540.29	7827.307	-14969.13	-41918.984	23383.389	69663.9	4307.566917896271
90	-4523.103	2268.8801	-1715.165	-9369.825	-5954.689	3519.905	-2237.692	-11141.416	20.0	20.0	449999	-23486.328	7796.7207	-14978.554	-41784.04	-23486.326	7796.7817	-14954.475	-41789.355	23328.004	70507.15	4336.715456008911
91	-4570.493	2320.6782	-1755.5247	-9237.405	-6040.741	2251.5007	-3150.2244	-11061.95	20.0	20.0	454999	-23422.727	7759.757	-14936.707	-41674.863	-23422.719	7759.818	-14906.782	-41688.887	23270.332	71056.46	5320.327315092087
